,Unnamed: 0,avalanche_obs,comment,documents,group_activity,id,location,location_coords,location_coords_type,location_desc,location_elevation,location_province,num_fatal,num_injured,num_involved,ob_date,snowpack_comment,snowpack_obs,weather_comment,weather_obs,alt_coord
63,63,"[{'observation_date': '2012-01-06 15:30', 'size': '3', 'type': 'S', 'trigger': 'S', 'aspect': 'se', 'elevation': 2350, 'slab_width': 90, 'slab_thickness': 85}]","Three members of a party of six had skied the skier's left-hand side of the avalanche path and regrouped in the trees near the bottom of the avalanche path. The fourth skier entered the slope on the skier's right side and immediately triggered the avalanche. The fourth skier was caught in the avalanche, getting pushed under the snow multiple times but survived, ending up on the surface with lost gear. One of the skiers who had regrouped in the trees was unable to move out of the way of the avalanche and got pushed approximately 60m through timber. This victim was on the surface, found by transceiver. The party initiated CPR on this victim, who did not survive the incident. The other two members of the party at the top made their way down the bed surface to help with the rescue.","[{'title': 'Molar Ridge Avalanche', 'source': 'Scott Belton', 'url': '/public/legacy_doc/31b86cbf-e5cc-44ba-85bb-f96a9c525293/Molar%20Ridge%206%20Jan%202012_Scott%20Belton.JPG', 'date': ['2012-01-08']}]",Backcountry Skiing,2b262e7d-c1bf-4655-932c-e16dccdf78f5,"Molars, Dogtooth Range, Purcells","[51.1800003051758, 117.059997558594]",Lat/Long Decimal Degrees,"Molar Ridge, backcountry ski area near Kicking Horse Mountain Resort, Dogtooth Range, Purcells",2350.0,BC,1,1.0,0.0,2012-01-06,Snow depth between 160-200cm+. The Instability buried on 11-Dec-2011 (surface hoar or sun crust with facets) was down at least 60cm and still reactive and touchy in specific areas. Basal depth hoar was stubborn in alpine areas mostly on northerly aspects.,"{'hs': None, 'hn24': 25.0, 'hst': None, 'hst_reset': ''}","On 4 Jan 2012, intense winds up to 125km/hr from the SW overnight. Strong SW winds continued through 5 Jan.","{'temp_present': None, 'temp_max': None, 'temp_min': None, 'temp_trend': 'U', 'wind_speed': 'S', 'wind_dir': 'sw', 'sky': 'U', 'precip': 'NIL'}","[None, None]"
64,64,"[{'observation_date': '2012-03-07 11:50', 'size': '2.5', 'type': 'S', 'trigger': 'S', 'aspect': 'SE', 'elevation': 1850, 'slab_width': 75, 'slab_thickness': None}]",RCMP press release categorizes size as 2.5,[],Mechanized Skiing,3cc843c7-e78f-4d58-98bd-69f4f0aee696,"Revelstoke , Holyk Creek","[0.0, 0.0]",,32 km SE of Revelstoke,,BC,1,,4.0,2011-12-30,,"{'hs': None, 'hn24': None, 'hst': None, 'hst_reset': ''}",,"{'temp_present': None, 'temp_max': None, 'temp_min': None, 'temp_trend': 'U', 'wind_speed': 'U', 'wind_dir': 'U', 'sky': 'U', 'precip': 'NIL'}","[None, None]"
65,65,"[{'observation_date': '2011-12-29 15:00', 'size': '2', 'type': 'S', 'trigger': 'S', 'aspect': 'U', 'elevation': None, 'slab_width': None, 'slab_thickness': 70}]","This report was submitted to the CAC by the British Columbia Coroners Service in the interest of public safety. The CAC makes no claim as to its authenticity or accuracy. Use and interpret at your own risk.

North aspect. Approximately 40 degrees. Suspect Dec 17 facet or surface hoar layer failure.",[],Backcountry Skiing,6c18520b-883e-41d1-afea-4ae00722a883,Duffy Lake Road Area,"[0.0, 0.0]",,,,BC,1,,,2011-12-29,,"{'hs': None, 'hn24': None, 'hst': None, 'hst_reset': ''}",,"{'temp_present': None, 'temp_max': None, 'temp_min': None, 'temp_trend': 'U', 'wind_speed': 'U', 'wind_dir': 'U', 'sky': 'U', 'precip': 'NIL'}","[None, None]"
66,66,"[{'observation_date': '2011-11-13 14:00', 'size': '2', 'type': 'S', 'trigger': 'M', 'aspect': 'nw', 'elevation': 1750, 'slab_width': 120, 'slab_thickness': 75}]",,"[{'title': 'accident site overview', 'source': 'Sean Fraser/BCCS', 'url': '/public/legacy_doc/92a76750-b0bf-4812-ba84-32be44d9385f/Torpy%20Ma%20Xh.JPG', 'date': ['2011-11-13']}]",Snowmobiling,79873cf4-f1eb-4f8e-ae12-2a139bf11c82,North Rockies Upper Torpy River,"[54.0294494628906, 121.212501525879]",Lat/Long Decimal Degrees,,1750.0,BC,1,,1.0,2011-11-13,One finger wind slab over softer layer.  ,"{'hs': None, 'hn24': None, 'hst': 75, 'hst_reset': ''}","No weather observations from the date/time of accident. Past 48 hours: 50-75cm new snow, moderate SE winds, temperatures -2 to 5 degrees C.","{'temp_present': None, 'temp_max': None, 'temp_min': None, 'temp_trend': 'U', 'wind_speed': 'U', 'wind_dir': 'U', 'sky': 'U', 'precip': 'NIL'}","[None, None]"
67,67,"[{'observation_date': '2011-02-26 18:27', 'size': '3.0', 'type': 'Slab', 'trigger': 'S', 'aspect': 's', 'elevation': 1624, 'slab_width': 40, 'slab_thickness': 75}]","Group of four skiing a gully feature.  Windslab avalanche 50-100 cm thick and 40 m wide.

New information has confirmed increased size of this avalanche from initial report: 3.0","[{'title': 'Update- Smithers Fatal Avalanche - Recovery Comple', 'source': 'RCMP', 'url': '/public/legacy_doc/bcd14eeb-8779-4642-a18e-037dfe5fe57a/', 'date': ['2011-02-28']}, {'title': 'Tom George Mtn. photos', 'source': 'BC Coroners Service', 'url': '/public/legacy_doc/207374e9-0817-44cf-b8f1-0a2bc4b66d13/', 'date': ['2011-02-28']}]",Backcountry Skiing,91aca4d1-3b7a-4d4a-9606-8d78c144e58c,"Tom George Mtn, Smithers BC","[54.4569091796875, -127.669898986816]",Lat/Long Decimal Degrees,54 27 24.95 - 127 40 08.32,1624.0,BC,2,1.0,3.0,2011-02-26,Had been snowing recently. Large fetch area above.,"{'hs': None, 'hn24': None, 'hst': None, 'hst_reset': ''}","Windy conditions, warming temperatures
Limited visibility,
","{'temp_present': None, 'temp_max': None, 'temp_min': None, 'temp_trend': 'Rising', 'wind_speed': 'U', 'wind_dir': 'w', 'sky': 'U', 'precip': 'NIL'}","[None, None]"
68,68,"[{'observation_date': '2011-02-19', 'size': '4.0', 'type': 'Slab', 'trigger': 'Ma', 'aspect': '', 'elevation': 2600, 'slab_width': 250, 'slab_thickness': None}]","A snowmobiler triggered the slab from near top (climber's right) of face.  Slab width was about  250m from flank to flank.  Depth was 80cm average to 250cm max.  Go here: http://www.avalanche.ca/cac/library/avalanche-image-galleries/Avalanches2010-2011 to see a photo of the avalanche titled Hope Creek Avalanche. February 19, 2011. Click on the camera icon at the bottom of the photo to see a full-size image.","[{'title': 'Mom Praises Rescue Crew', 'source': 'Calgary Herald', 'url': '/public/legacy_doc/1eb1227a-34ea-486b-b2ad-0cb32643f8af/', 'date': ['2011-03-23']}, {'title': 'Hope Creek avlanche site', 'source': 'Phil Hein', 'url': '/public/legacy_doc/ddb254dd-b14d-49ef-b96e-2a5dd4b557b6/', 'date': ['2011-02-23']}, {'title': 'Goodfellow Creek images', 'source': 'Mike Rubenstein', 'url': '/public/legacy_doc/849b0002-7ac1-4cb4-8168-cffb53994089/', 'date': ['2011-02-28']}, {'title': 'Letters: Must More Snowmobilers Die…', 'source': 'The Province', 'url': '/public/legacy_doc/1d533422-11a4-4c6c-bb3b-eee218d7d191/', 'date': ['2011-02-23']}]",Snowmobiling,fe0f0bfe-9713-4a51-b971-4fbdb5bf70a1,Hope Creek Snowmobile Area,"[117.251899719238, 51.7391700744629]",,"Goodfellow Ck. (E Branch), NW of Mt. Gerald, N of Golden",2600.0,BC,3,1.0,4.0,2011-02-19,"Weak base with stubborn midpack on certain aspects, touchy on others. Variable snowpack depth across the slope.","{'hs': None, 'hn24': 0.0, 'hst': 0, 'hst_reset': ''}",,"{'temp_present': None, 'temp_max': None, 'temp_min': None, 'temp_trend': 'U', 'wind_speed': 'U', 'wind_dir': 'U', 'sky': 'CLR', 'precip': 'NIL'}","[None, None]"
69,69,"[{'observation_date': '2011-02-05 12:30', 'size': '2', 'type': 'S', 'trigger': 'M', 'aspect': 'ne', 'elevation': 1740, 'slab_width': 120, 'slab_thickness': 300}]","Information in this report has been updated with new information on March 11, 2011","[{'title': 'Avalanche site', 'source': 'Scott Garvin, MOT', 'url': '/public/legacy_doc/f2ff99b7-7e61-484e-ac62-2657ab607df6/P2050146.JPG', 'date': ['2011-02-05']}, {'title': 'Avalanche crown', 'source': 'Scott Garvin, MOT', 'url': '/public/legacy_doc/5671e63e-7cb2-4575-bd4f-fc0e5eaa36fb/P2050149.JPG', 'date': ['2011-02-05']}]",Snowmobiling,d0c3280d-3157-4402-9db5-10929a36aa82,Smithers; Microwave Tower snowmobiling area,"[-127.264801025391, 54.4225006103516]",Lat/Long Decimal Degrees,"Close to Smithers, popular snowmobiling location
Google earth co-ords: 544224.81N/127.2648.36W",1740.0,BC,1,,1.0,2011-02-05,,"{'hs': None, 'hn24': None, 'hst': None, 'hst_reset': ''}","Sky described as clear with haze.
No wind transport of snow. Winds calm-light.
Poor weather ","{'temp_present': None, 'temp_max': None, 'temp_min': None, 'temp_trend': 'U', 'wind_speed': 'L', 'wind_dir': 'U', 'sky': 'CLR', 'precip': 'NIL'}","[None, None]"
70,70,"[{'observation_date': '2011-01-23 15:20', 'size': '2.5', 'type': 'Slab', 'trigger': 'Ma', 'aspect': 'NE', 'elevation': 1530, 'slab_width': 800, 'slab_thickness': 120}]"," Group was playing on slope all day. near end of day one rider on machine went up hill and got stuck near a small outcroping of rock. As he was getting machine out slide realsed and ran towards trees 500m down the slope. 
 
See RCMP Press Release at: http://bit.ly/eoTTrF","[{'title': 'RCMP Press Release', 'source': 'RCMP', 'url': '/public/legacy_doc/5fbf7a44-5630-40a4-adf2-cf97edc0e67b/RCMP%20Press%20Release.pdf', 'date': ['2011-01-24']}]",Snowmobiling,2383db0c-cb86-40b3-ae99-14ad7b7e4124,N Rockies Albright Ridge,"[0.0, 0.0]",, Wolverine River Area south west of Tumbler Ridge Albright Ridge. Riding area out of Tumbler Ridge called Pyramid mtn area.,,BC,1,1.0,1.0,2011-01-23,,"{'hs': 180, 'hn24': None, 'hst': None, 'hst_reset': ''}",,"{'temp_present': None, 'temp_max': None, 'temp_min': None, 'temp_trend': 'U', 'wind_speed': 'M', 'wind_dir': 'S', 'sky': 'U', 'precip': 'NIL'}","[None, None]"
71,71,"[{'observation_date': '2011-01-16 12:00 to 2011-01-16 12:30', 'size': '2.5', 'type': 'S', 'trigger': 'S', 'aspect': 'E', 'elevation': 2192, 'slab_width': 100, 'slab_thickness': 80}]","Two groups skiing in same drainage; a group of 10 and a group of 5. Group of 5 decided to climb higher onto ridge. Group of 10, decided not to go any higher.","[{'title': 'Upper part of fracture line is where skier entered', 'source': 'John Tweedy', 'url': '/public/legacy_doc/7404ee73-ea2c-4fbb-b585-9fb23bec6c70/DSC_7780.JPG', 'date': ['2011-01-16']}, {'title': 'Location of avalanche', 'source': 'Google Earth', 'url': '/public/legacy_doc/ef6e85f1-f655-44dc-aac2-a6e1ca0a413b/Kokanee%20Jan%2016.jpg', 'date': ['2011-01-18']}, {'title': 'Fracture line and burial location', 'source': 'John Tweedy', 'url': '/public/legacy_doc/b1d737c5-c964-45a4-812a-c80fde83c134/DSC_7788.JPG', 'date': ['2011-01-16']}]",Backcountry Skiing,d6476d6a-0a4b-4183-8c75-5b34c2029036,Mt Tanal: Kokanee Glacier Provincial Park,"[49.7810401916504, 117.197601318359]",Lat/Long Decimal Degrees,On the E aspect of Mt. Tanal. The lower elevations is known as Happy Valley. The accident site is approximately 45 - 60 minute walk from the Kokanee Glacier Lodge,2192.0,BC,1,1.0,1.0,2011-01-16,Foot Penetration: 46cm,"{'hs': 240, 'hn24': None, 'hst': None, 'hst_reset': ''}","Temperatures were fluctuating but hovering near 0.0 over the last few days at this elevations throughout the Kootenay Boundary bulletin region. Some areas reported freezing rain to 2200m (Jan 14).

Weather observations at Kokanee Cabin 16 January 2011 0720:
Sky – overcast
Precipitation – S -1
Temperature – minus 2.3  C  (no max/min)
Temperature down 10 cm. – minus 3.2 C
HS – 240 cm.
Foot Pen – 46 cm
Surface condition – new, stellars, 1.5 mm
Wind High – MSW
Wind Base – L
Blowing Snow (RT) – M
Barometric trend – steady","{'temp_present': -2, 'temp_max': None, 'temp_min': None, 'temp_trend': 'Steady', 'wind_speed': 'L', 'wind_dir': 'nw', 'sky': 'OVC', 'precip': 'S-1'}","[None, None]"
72,72,"[{'observation_date': '2011-01-15 14:00', 'size': '3', 'type': 'S', 'trigger': 'U', 'aspect': 'e', 'elevation': 2350, 'slab_width': None, 'slab_thickness': None}]",Preliminary information. We will update this with further information as it becomes available.,"[{'title': 'The darker side - Lived!', 'source': 'http://rmbooks.com/outdoors_forum/showthread.php?264-The-darker-side-Lived', 'url': '/public/legacy_doc/1f8174cc-b954-413c-9071-015464549193/', 'date': ['2011-01-18']}, {'title': 'Picassa web album of Burstall Pass', 'source': 'dan stafinski', 'url': '/public/legacy_doc/74138246-255e-44d6-bd28-09abdd03ed1e/', 'date': ['2011-01-20']}, {'title': 'Burstall Pass Avalanche', 'source': 'Mike Koppang', 'url': '/public/legacy_doc/b5235cff-da84-4c5b-a867-c6aff478ab8d/', 'date': ['2011-01-16']}]",Backcountry Skiing,ae6a01f1-1b35-4b5a-8172-8a36e5862d99,"Burstall Pass, Kananaskis Country","[0.0, 0.0]",,,2350.0,AB,2,,2.0,2011-01-15,,"{'hs': None, 'hn24': None, 'hst': None, 'hst_reset': ''}",,"{'temp_present': None, 'temp_max': None, 'temp_min': None, 'temp_trend': 'U', 'wind_speed': 'U', 'wind_dir': 'U', 'sky': 'U', 'precip': 'NIL'}","[None, None]"
73,73,"[{'observation_date': '2010-12-28 12:30', 'size': '3', 'type': 'S', 'trigger': 'Ma', 'aspect': 'NE', 'elevation': 1820, 'slab_width': 100, 'slab_thickness': 60}]","Party of two was travelling ahead of the rest of the group.  1st Snowmobiler triggered the slide as he was cresting the ridge top/bowl (he was unaware he triggered an avalanche).  

The rest of the party came upon the debris, saw 1 or both of the second snowmobiler's sled's skis sticking out of the debris.

A search was commenced, the subject was found by probe 2-3m uphill of his snowmobile.   It took 20 minutes to recover the subject.

It appears an airbag was deployed.  Details about how/when are not known for certain as the avalanche was unwitnessed.","[{'title': 'Maple Ridge man dies in snowmobiling avalanche nea', 'source': 'RCMP Hope', 'url': '/public/legacy_doc/e49c506d-cbce-418e-b453-0e8eba1fa9f8/', 'date': ['2010-12-28']}, {'title': 'Snowmobilers return to deadly B.C. avalanche site ', 'source': 'globeandmail.com', 'url': '/public/legacy_doc/29eb1d52-cb6b-45e0-ac54-66be49c0a5ee/', 'date': ['2010-12-29']}]",Snowmobiling,0855bf48-2989-413e-899a-939b36cf6759,"Coquihalla Summit, Illal Mountain SE shoulder","[121.036903381348, 49.5394401550293]",LatLon,"In the ""10K bowl"" sleeding area east of the Coquihalla Summit in the North Cascades Mountains.",1820.0,BC,1,0.0,1.0,2010-12-28,Well settled mid to lower pack.  SSL forming on lee features. Generally stable mid to lower pack.  Easy to Moderate results within storm snow.,"{'hs': None, 'hn24': 15.0, 'hst': 40, 'hst_reset': ''}",Tail end of 36 hours of moderate winds with gusts to 80km. 30-50cm storm snow fell in previous 48hrs.  Winds Moderate to Strong previous 36hr.,"{'temp_present': None, 'temp_max': None, 'temp_min': None, 'temp_trend': 'Falling', 'wind_speed': 'M', 'wind_dir': 'sw', 'sky': 'BKN', 'precip': 'S-1'}","[None, None]"
74,74,"[{'observation_date': '2010-04-11', 'size': '2.5', 'type': 'S', 'trigger': 'Sa', 'aspect': 'NE', 'elevation': 1571, 'slab_width': None, 'slab_thickness': None}]","Location: Alpine at approx. 1571m.
Character: NE; 35 degrees; Lee Slope(s); Gully(s).
party moved off ridge line onto lee slope to cross. Shallow facetted snowpack above. Rocky outcrops below . Crown 15 metres above them.
Location: Alpine at approx. 1571m.
Character: NE; 35 degrees; Lee Slope(s); Gully(s).
party moved off ridge line onto lee slope to cross. Shallow facetted snowpack above. Rocky outcrops below . Crown 15 metres above them.",[],Backcountry Skiing,9da28fc8-a77f-43d8-b6d1-581d651250da,"Observation Mountain, Slims River Valley, Kluane R","[-138.718688964844, 60.8396835327148]",LatLon,"Observation Mountain, Slims River Valley, Kluane Ranges of the St Elias Mountains",,YT,1,,1.0,2010-04-11,"North end of Kluane Park is a cold, windy climate. Cold, very facetted snowpack with windslab on top. Party ascended through recent (within last 48hrs) avalanche debris. Whumphing noted by rescue party.","{'hs': None, 'hn24': None, 'hst': None, 'hst_reset': ''}","-15 degrees morning of accident. +5, calm, clear at time of accident.","{'temp_present': None, 'temp_max': None, 'temp_min': None, 'temp_trend': '', 'wind_speed': '', 'wind_dir': '', 'sky': '', 'precip': ''}","[None, None]"
75,75,"[{'observation_date': '2010-04-05 18:30', 'size': '2.5', 'type': 'S', 'trigger': 'Ma', 'aspect': 'E', 'elevation': 2200, 'slab_width': 100, 'slab_thickness': 125}]",Slide triggered by a victim who was highmarking on slope above. Debris stopped about 3m short of a person at the bottom of the slope. ,[],Snowmobiling,9c2fa935-6354-48c2-b7f6-04708bbb8452,NW of Invermere,"[-116.732116699219, 50.7139549255371]",,Silver Basin NW of Invermere,2267.0,BC,1,0.0,1.0,2010-04-05,Fracture line 50 - 200 cm thick. Start zone incline 40-50 degrees.,"{'hs': None, 'hn24': None, 'hst': None, 'hst_reset': ''}",30cm new snow reported in area previous day. 40-60cm of storm snow in last few days with wind at upper elevations.,"{'temp_present': None, 'temp_max': None, 'temp_min': None, 'temp_trend': '', 'wind_speed': '', 'wind_dir': '', 'sky': '', 'precip': ''}","[None, None]"
76,76,"[{'observation_date': '2010-03-31 14:00', 'size': '3.5', 'type': 'S', 'trigger': 'Nc', 'aspect': '', 'elevation': None, 'slab_width': None, 'slab_thickness': None}]",Four people hired a helicopter to drop them on Mount Currie. The group was at approximately 6000 feet asl when slide from above went by. Deceased was swept about 1500 feet down the face over three rocky sections.,[],Backcountry Skiing,55c7836f-6c50-4de2-82b0-25f04e7fedef,"Y Coulior, Mount Currie","[0.0, 0.0]",,"Y Coulior, Mount Currie",,BC,1,0.0,1.0,2010-03-31,,"{'hs': None, 'hn24': None, 'hst': None, 'hst_reset': ''}",60cm new snow and light to moderate winds reported in last 48 hours. The new snow had settled to 30-40cm. Temperature at time of accident reported to be -3.,"{'temp_present': None, 'temp_max': None, 'temp_min': None, 'temp_trend': '', 'wind_speed': '', 'wind_dir': '', 'sky': '', 'precip': ''}","[None, None]"
77,77,"[{'observation_date': '2010-03-20 15:00', 'size': '3.5', 'type': 'S', 'trigger': 'Sa', 'aspect': 'N', 'elevation': 2300, 'slab_width': 400, 'slab_thickness': 80}]","Location: Alpine at approx. 2300m.
Character: N; 30 degrees; Open Slope. 
Comment:  -Same slope skied two days prior. -Two phase avalanche. -Three buried: one recovered (airbag), two deceased.",[],Mechanized Skiing,2ae0b4a2-a5c5-44ef-9b49-1f167eccfbf4,Azure River Drainage,"[119.50350189209, 52.3634986877441]",LatLon,Azure River Drainage,2300.0,BC,2,0.0,3.0,2010-03-20,,"{'hs': None, 'hn24': None, 'hst': None, 'hst_reset': ''}",Temperature: -5oC,"{'temp_present': None, 'temp_max': None, 'temp_min': None, 'temp_trend': '', 'wind_speed': '', 'wind_dir': '', 'sky': '', 'precip': ''}","[None, None]"
78,78,"[{'observation_date': '2010-03-19', 'size': '3.5', 'type': 'Slab', 'trigger': 'U', 'aspect': '', 'elevation': None, 'slab_width': 500, 'slab_thickness': None}]","Two large groups of snowmobilers were riding together. There were 19 people in total. Decedent was starting to climb the hill when the slide initiated. There were two other snowmobilers on the slope at that time.

Large debris piles - up to 10-15 metres deep. slide ran into a very large bench feature.","[{'title': 'Avalanche Incident Report', 'source': 'BC Coroners Service', 'url': '/public/legacy_doc/8a7d0678-bf1a-4af1-8e1b-0b7472c2eb26/', 'date': ['2010-03-19']}]",Snowmobiling,5077f4cd-6779-49eb-8848-08c6d6bacde8,Eagle Pass Mtn,"[-118.490875244141, 51.0854301452637]",,4.2 km NE of Eagle Pass Mtn Summit,1900.0,BC,1,1.0,1.0,2010-03-19,,"{'hs': None, 'hn24': None, 'hst': None, 'hst_reset': ''}",,"{'temp_present': None, 'temp_max': None, 'temp_min': None, 'temp_trend': '', 'wind_speed': '', 'wind_dir': '', 'sky': '', 'precip': ''}","[-118.540833, 51.065833]"
79,79,"[{'observation_date': '2010-03-13 15:00', 'size': '3.0', 'type': '', 'trigger': 'Ma', 'aspect': 'NE', 'elevation': 2170, 'slab_width': None, 'slab_thickness': None}]",,[],Snowmobiling,91c88430-d094-4faa-898c-573e51396488,Boulder Mountain,"[None, None]",,Turbo Hill,2170.0,BC,2,32.0,,2010-03-13,,"{'hs': None, 'hn24': None, 'hst': None, 'hst_reset': ''}",,"{'temp_present': None, 'temp_max': None, 'temp_min': None, 'temp_trend': '', 'wind_speed': '', 'wind_dir': '', 'sky': '', 'precip': ''}","[-120.818889, 49.601111]"
80,80,"[{'observation_date': '2010-02-17 10:00 to 2010-02-17 11:00', 'size': '3.0', 'type': 'Slab', 'trigger': 'Sa', 'aspect': '', 'elevation': 1981, 'slab_width': 450, 'slab_thickness': 75}]","Three recreational skier sledded 15 km up Spahats Creek Road 80 and ascended ""Fro Bowl"" (a local name). During the ascent at about 10:30 am the slide was triggered by the skiers from a height of about 2000 m. All three had a ride of about 200 m. Two partial burials, one completely buried. All recovered within 40 minutes. Avalanche was a large size 3. One skier had injuries that he did not survive. Group of three did self rescue without help until they made it to the road.",[],Backcountry Skiing,e4ae72b4-1753-4e1a-85a7-f7c746a2ae60,Raft Mountain,"[-119.803558349609, 51.7449722290039]",LatLon,"Backside Raft Mountain near Clearwater, BC. Bowl known as ""Fro Bowl""",,BC,1,1.0,2.0,2010-02-17,,"{'hs': None, 'hn24': None, 'hst': None, 'hst_reset': ''}",,"{'temp_present': None, 'temp_max': None, 'temp_min': None, 'temp_trend': '', 'wind_speed': '', 'wind_dir': '', 'sky': '', 'precip': ''}","[-119.861111, 51.727778]"
81,81,"[{'observation_date': '2010-02-14 15:00 to 2010-02-14 16:00', 'size': '2.0', 'type': 'Slab', 'trigger': 'Ma', 'aspect': 'N', 'elevation': 1920, 'slab_width': 30, 'slab_thickness': 50}]","A snowmobiler ascending a steep short slope got stuck and a second snowmobiler climbed up below the first and got off his sled to help the first but felt the slope break. Both were caught in the avalanche. The second was buried and died at, or close to, the toe of the deposit.",[],Snowmobiling,6bd1dc95-36fa-489a-877a-00f7eabe6019,Bewes Creek,"[-118.525001525879, 51.0844993591309]",LatLon,"SE of trailhead for Bewes Creek which drains into the Perry River, Malakwa",1920.0,BC,1,0.0,1.0,2010-02-14,,"{'hs': None, 'hn24': None, 'hst': None, 'hst_reset': ''}",,"{'temp_present': None, 'temp_max': None, 'temp_min': None, 'temp_trend': '', 'wind_speed': '', 'wind_dir': '', 'sky': '', 'precip': ''}","[None, None]"
82,82,"[{'observation_date': '2010-01-18', 'size': 'U', 'type': '', 'trigger': 'U', 'aspect': '', 'elevation': None, 'slab_width': None, 'slab_thickness': None}]",,[],Snowmobiling,81ba9ecf-f8c3-4a67-8e59-88698faefcde,Queest Mountain,"[None, None]",,,,BC,1,,,2010-01-18,,"{'hs': None, 'hn24': None, 'hst': None, 'hst_reset': ''}",,"{'temp_present': None, 'temp_max': None, 'temp_min': None, 'temp_trend': '', 'wind_speed': '', 'wind_dir': '', 'sky': '', 'precip': ''}","[-118.870556, 50.986944]"
83,83,"[{'observation_date': '2010-01-04 15:00', 'size': '2.0', 'type': 'Slab', 'trigger': 'Sa', 'aspect': 'W', 'elevation': 1950, 'slab_width': 35, 'slab_thickness': 70}]",,"[{'title': 'Trail and Greater District - Alberta man perishes ', 'source': 'RCMP', 'url': '/public/legacy_doc/84b34d0d-d716-4737-91f1-7b9bb01c58ff/', 'date': ['2010-01-04']}, {'title': 'Avalanche victim recovery effort from Mt Mackie', 'source': 'RCMP', 'url': '/public/legacy_doc/90019e2c-7333-47c5-8f54-f62bb153cbdb/', 'date': ['2010-01-05']}]",Backcountry Skiing,44243efd-2df1-4bdb-8e74-040dfc54f044,Mt Mackie,"[117.491607666016, 49.1446685791016]",LatLon,near Rossland BC,,BC,1,0.0,1.0,2010-01-04,20 cm of new snow and moderate winds 48 hrs prior to accident,"{'hs': None, 'hn24': None, 'hst': None, 'hst_reset': ''}",Nearby MoTI weather station at similar elevation reported temperatures of -1 ro -6 degree C.,"{'temp_present': None, 'temp_max': None, 'temp_min': None, 'temp_trend': '', 'wind_speed': '', 'wind_dir': '', 'sky': '', 'precip': ''}","[-117.816945, 49.245833]"
84,84,"[{'observation_date': '2009-04-14', 'size': '2.0', 'type': 'Slab', 'trigger': 'Sa', 'aspect': 'NE', 'elevation': 710, 'slab_width': 50, 'slab_thickness': 90}]",Skier entered slope by jumping a 1m rock band. The slope was triggered in an open area 10m below. The victim was carried into dense trees.,[],Backcountry Skiing,5aab499b-ccb2-4767-9147-0dc6bb89cf8f,Mont Medaille,"[66.2342758178711, 49.0988731384277]",LatLon,Secteur lacs Ste-Marthe et de la Savane dans l’arrière-pays de La Martre (environ 12km au SO de La Martre),710.0,QC,1,0.0,1.0,2009-04-14,"35cm to 90cm HN48 in the Chic-Chocs. Snow was moist to approx.
600m. Storm was accompanied by strong northerly winds. This lay on
hard melt freeze crust (investigating party was in crampons on bed
surface)","{'hs': None, 'hn24': None, 'hst': 90, 'hst_reset': '2009-04-12'}",Clearing skies after storm. Temps up to 2°C at mountain top.,"{'temp_present': None, 'temp_max': 2, 'temp_min': None, 'temp_trend': '', 'wind_speed': 'M', 'wind_dir': 'N', 'sky': '', 'precip': ''}","[None, None]"
85,85,"[{'observation_date': '2009-04-10 14:00', 'size': '3.0', 'type': 'Slab', 'trigger': 'Ma', 'aspect': 'N', 'elevation': 2400, 'slab_width': 150, 'slab_thickness': 100}]","Snowmobilers were high marking for several hours one at a time. Victim took slightly different line. Slope avalanched on second pass, triggering near apex of high mark. High mark and crown roughly at same elevation. Witnesses observed vicitm on surface until they entered terrain trap. Victim carried into gully and was found in deep deposition[est. up to 4 meters]. 

Companions initiated search
immediately, located with transceiver and probe. Dug out in 30 + minutes, head was up and
aprox 2 meters from surface. Deceased also was recovered with a deployed airbag.","[{'title': 'Valemount - Avalanche Takes A Life Near Valemount', 'source': 'RCMP Valemount', 'url': '/public/legacy_doc/0b449e57-1163-40fd-af3a-03704137c331/090411_RCMP_PressRelease.pdf', 'date': ['2009-04-11']}, {'title': 'Snowmobiler Dies In Avalanche on BC Mountain', 'source': 'globeandmail.com', 'url': '/public/legacy_doc/9b4da71a-da3f-4572-97e4-bb0b3f64eeb6/090411_GlobeAndMailArticle.pdf', 'date': ['2009-04-11']}]",Snowmobiling,36762a83-e9be-43e7-9063-6f322e893f60,Clemina Creek,"[None, None]",,near Valemount,2400.0,BC,1,0.0,1.0,2009-04-10,"minimal freeze overnight, daytime warming","{'hs': None, 'hn24': None, 'hst': None, 'hst_reset': ''}",,"{'temp_present': None, 'temp_max': 5, 'temp_min': -3, 'temp_trend': '', 'wind_speed': 'L', 'wind_dir': 'SW', 'sky': '', 'precip': 'Nil'}","[-119.105, 52.565278]"
